,Unnamed: 0,id,offense_type,year,month,day_of_Week,ucr_oart,lat,long,location,street,date,neighborhoods
11,11,120419280,VAL,2012,7,Sunday,Part Two,777796.693,2938036.312,"(42.3092417, -71.05033304)",SAVIN HILL AV,7/8/2012 8:15,Dorchester
12,12,120449819,FRAUD,2012,7,Sunday,Part Two,774083.6785,2952595.797,"(42.34924634, -71.06378456)",WASHINGTON ST,7/8/2012 9:00,Chinatown
13,13,120419475,PropFound,2012,7,Sunday,Part Three,771032.1683,2947352.683,"(42.33490135, -71.07516956)",MASSACHUSETTS AV,7/8/2012 9:30,Roxbury
14,14,120419370,InvPer,2012,7,Sunday,Part Three,772933.044,2956412.797,"(42.35973634, -71.06796956)",CHAMPNEY PL,7/8/2012 9:30,Beacon Hill
15,15,120419367,TOWED,2012,7,Sunday,Part Three,754114.5468,2950794.983,"(42.34456135, -71.13768454)",COREY RD,7/8/2012 9:45,Brighton
16,16,120419366,VAL,2012,7,Sunday,Part Two,777035.8848,2957182.846,"(42.36179134, -71.05277456)",COMMERCIAL ST,7/8/2012 9:47,North End
17,17,120419376,TOWED,2012,7,Sunday,Part Three,779594.8466,2947932.63,"(42.33637135, -71.04348957)",E 3RD ST,7/8/2012 9:53,South Boston
18,18,120419382,WEAPONS CHARGE,2012,7,Sunday,Part Two,769233.404,2942533.368,"(42.32170135, -71.08190956)",WARREN ST,7/8/2012 9:55,Roxbury
19,19,120419328,InvProp,2012,7,Sunday,Part Three,769552.6659,2948284.111,"(42.33747731, -71.08062448)",CAMDEN ST,7/8/2012 10:00,Roxbury
20,20,120419772,MedAssist,2012,7,Sunday,Part Three,769183.8241,2942717.161,"(42.32220635, -71.08208955)",WARREN ST,7/8/2012 10:00,Roxbury
21,21,120419387,InvPer,2012,7,Sunday,Part Three,769851.8126,2941554.837,"(42.31900788, -71.07964071)",WOODBINE ST,7/8/2012 10:00,Roxbury
22,22,120419601,DRUG CHARGES,2012,7,Sunday,Part Two,763205.8082,2938139.2,"(42.30972244, -71.10427304)",WASHINGTON ST,7/8/2012 10:00,Jamaica Plain
23,23,120421491,VAL,2012,7,Sunday,Part Two,770311.7677,2941033.602,"(42.31757135, -71.07794956)",BLUE HILL AV,7/8/2012 10:00,Roxbury
24,24,120419390,WEAPONS CHARGE,2012,7,Sunday,Part Two,757481.0058,2953404.247,"(42.35168135, -71.12518954)",COMMONWEALTH AV,7/8/2012 10:01,Allston
25,25,120419425,VAL,2012,7,Sunday,Part Two,760092.1353,2925515.338,"(42.2751208, -71.11599434)",AMERICAN LEGION HY,7/8/2012 10:34,Hyde Park
