,neighborhood,time,value,category
293,Longwood Medical Area,1960.0,392.0,High School or GED
294,Longwood Medical Area,1960.0,197.0,Some College or Associate's Degree
295,Longwood Medical Area,1960.0,194.0,Bachelor's Degree or Higher
296,Longwood Medical Area,1970.0,269.0,less than High School
297,Longwood Medical Area,1970.0,177.0,High School or GED
298,Longwood Medical Area,1970.0,179.0,Some College or Associate's Degree
299,Longwood Medical Area,1970.0,259.0,Bachelor's Degree or Higher
300,Longwood Medical Area,1980.0,161.0,less than High School
301,Longwood Medical Area,1980.0,154.0,High School or GED
302,Longwood Medical Area,1980.0,95.0,Some College or Associate's Degree
303,Longwood Medical Area,1980.0,136.0,Bachelor's Degree or Higher
304,Longwood Medical Area,1990.0,188.0,less than High School
305,Longwood Medical Area,1990.0,166.0,High School or GED
306,Longwood Medical Area,1990.0,141.0,Some College or Associate's Degree
307,Longwood Medical Area,1990.0,178.0,Bachelor's Degree or Higher
308,Longwood Medical Area,2000.0,201.0,less than High School
309,Longwood Medical Area,2000.0,140.0,High School or GED
310,Longwood Medical Area,2000.0,85.0,Some College or Associate's Degree
311,Longwood Medical Area,2000.0,228.0,Bachelor's Degree or Higher
312,Mattapan,1950.0,7226.0,less than High School
313,Mattapan,1950.0,5140.0,High School or GED
314,Mattapan,1950.0,1583.0,Some College or Associate's Degree
315,Mattapan,1950.0,569.0,Bachelor's Degree or Higher
316,Mattapan,1960.0,7104.0,less than High School
317,Mattapan,1960.0,5967.0,High School or GED
318,Mattapan,1960.0,1286.0,Some College or Associate's Degree
319,Mattapan,1960.0,1023.0,Bachelor's Degree or Higher
320,Mattapan,1970.0,6630.0,less than High School
321,Mattapan,1970.0,6453.0,High School or GED
322,Mattapan,1970.0,1354.0,Some College or Associate's Degree
323,Mattapan,1970.0,1092.0,Bachelor's Degree or Higher
324,Mattapan,1980.0,3505.0,less than High School
325,Mattapan,1980.0,5905.0,High School or GED
326,Mattapan,1980.0,2066.0,Some College or Associate's Degree
327,Mattapan,1980.0,1331.0,Bachelor's Degree or Higher
328,Mattapan,1990.0,3848.0,less than High School
329,Mattapan,1990.0,4720.0,High School or GED
330,Mattapan,1990.0,4149.0,Some College or Associate's Degree
331,Mattapan,1990.0,2071.0,Bachelor's Degree or Higher
332,Mattapan,2000.0,3478.0,less than High School
333,Mattapan,2000.0,4567.0,High School or GED
334,Mattapan,2000.0,4212.0,Some College or Associate's Degree
335,Mattapan,2000.0,2506.0,Bachelor's Degree or Higher
336,Mission Hill,1950.0,7175.0,less than High School
337,Mission Hill,1950.0,3880.0,High School or GED
338,Mission Hill,1950.0,805.0,Some College or Associate's Degree
339,Mission Hill,1950.0,846.0,Bachelor's Degree or Higher
340,Mission Hill,1960.0,6029.0,less than High School
341,Mission Hill,1960.0,2905.0,High School or GED
342,Mission Hill,1960.0,940.0,Some College or Associate's Degree
343,Mission Hill,1960.0,857.0,Bachelor's Degree or Higher
344,Mission Hill,1970.0,3661.0,less than High School
345,Mission Hill,1970.0,2242.0,High School or GED
346,Mission Hill,1970.0,825.0,Some College or Associate's Degree
347,Mission Hill,1970.0,1396.0,Bachelor's Degree or Higher
348,Mission Hill,1980.0,2225.0,less than High School
349,Mission Hill,1980.0,2241.0,High School or GED
350,Mission Hill,1980.0,1295.0,Some College or Associate's Degree
